RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
394441,397,"Cape Girardeau, MO",msa,MO,,,142414.0,138676.0,143552.0,142034.0,151386.0,158916.0,166710.0,162369.0,158452.0,150977.0,151479.0,153168.0,158860.0,168373.0,165151.0,169346.0,163327.0,168230.0,164881.0,163467.0,160395.0,165572.0,173436.0,179961.0,180043.0,172522.0,169780.0,177085.0,182227.0,187632.0,187933.0,187554.0,184391.0,173520.0,181710.0,183493.0,186997.0,186965.0,194242.0,192383.0,189281.0,180325.0,188550.0,193740.0,197150.0,200983.0
394311,398,"Albertville, AL",msa,AL,121940.0,124128.0,123870.0,120160.0,130416.0,127319.0,127812.0,128561.0,130011.0,130084.0,125168.0,129417.0,141475.0,148057.0,146357.0,141270.0,143376.0,146666.0,147647.0,147521.0,146817.0,152610.0,152656.0,157037.0,161789.0,162587.0,160948.0,159242.0,165841.0,172658.0,180936.0,180713.0,176012.0,171603.0,176015.0,180893.0,185108.0,183691.0,187879.0,183501.0,190825.0,194443.0,208716.0,214280.0,216426.0,218004.0,216390.0,201775.0
394513,399,"Cumberland, MD",msa,MD,108168.0,104052.0,110726.0,116242.0,118120.0,118143.0,114114.0,116265.0,104168.0,112904.0,111865.0,115702.0,109123.0,108702.0,106580.0,110469.0,111354.0,114842.0,114950.0,116674.0,117703.0,122086.0,121783.0,120673.0,115338.0,121130.0,126639.0,126924.0,127277.0,123482.0,125858.0,122094.0,120902.0,120311.0,122498.0,125007.0,131815.0,138791.0,140327.0,139494.0,134842.0,133792.0,132955.0,130990.0,131836.0,129272.0,128400.0,127483.0
394340,400,"Ashtabula, OH",msa,OH,99213.0,105507.0,97935.0,96002.0,96918.0,107363.0,104125.0,110701.0,102972.0,105408.0,96751.0,100891.0,99210.0,105360.0,103898.0,105100.0,110824.0,106915.0,106053.0,96319.0,107867.0,117349.0,127346.0,125788.0,123926.0,124115.0,123958.0,125571.0,125722.0,129092.0,129586.0,128982.0,122048.0,122389.0,121544.0,128027.0,126629.0,127363.0,131424.0,136754.0,145685.0,142654.0,145459.0,141403.0,147139.0,143886.0,149661.0,154224.0
394988,401,"Pocatello, ID",msa,ID,175865.0,167167.0,167190.0,160030.0,163827.0,164867.0,172888.0,171088.0,179062.0,181181.0,191727.0,186072.0,176268.0,189109.0,200006.0,206231.0,196035.0,201048.0,233655.0,228574.0,225120.0,205997.0,205443.0,216013.0,221767.0,238196.0,238875.0,237116.0,228324.0,215808.0,218344.0,229778.0,248527.0,256149.0,263217.0,277418.0,279818.0,282411.0,284212.0,296725.0,293257.0,293871.0,297608.0,299792.0,297420.0,295445.0,319099.0,319556.0
394953,402,"Paducah, KY",msa,KY,124113.0,125739.0,125545.0,123714.0,127591.0,126785.0,120137.0,114717.0,124151.0,132800.0,129177.0,120280.0,119912.0,126725.0,131655.0,133592.0,134347.0,145651.0,145763.0,152954.0,140346.0,141886.0,134975.0,136965.0,142448.0,147887.0,154892.0,147953.0,142302.0,142057.0,140892.0,148328.0,153696.0,156975.0,156230.0,160213.0,164737.0,163568.0,160195.0,158286.0,162199.0,164252.0,164072.0,161130.0,156191.0,168496.0,175717.0,172065.0
394410,404,"Brainerd, MN",msa,MN,200760.0,195050.0,194522.0,201445.0,202962.0,202183.0,201753.0,203620.0,206159.0,204574.0,204624.0,212210.0,210731.0,215309.0,218565.0,221778.0,212736.0,198554.0,190302.0,192406.0,202915.0,215437.0,226264.0,232687.0,237825.0,249118.0,253167.0,259965.0,261626.0,260881.0,255869.0,246871.0,255480.0,263788.0,269826.0,270261.0,266299.0,272730.0,271752.0,269985.0,274842.0,259274.0,258771.0,259328.0,276163.0,289722.0,289247.0,306951.0
394501,405,"Corning, NY",msa,NY,107231.0,112522.0,112101.0,106070.0,104215.0,102196.0,103576.0,99811.0,98349.0,96047.0,100927.0,109077.0,114144.0,113122.0,113469.0,110392.0,108799.0,110946.0,117803.0,125381.0,118521.0,124334.0,120178.0,121263.0,112839.0,118509.0,123866.0,128657.0,131718.0,132773.0,126140.0,126730.0,128801.0,137907.0,141203.0,139069.0,136654.0,133213.0,138963.0,141013.0,144779.0,146352.0,148015.0,139312.0,138203.0,135823.0,141600.0,142437.0
394505,406,"Corvallis, OR",msa,OR,350082.0,359459.0,350186.0,351178.0,357060.0,367428.0,366893.0,369008.0,365892.0,373130.0,373687.0,366134.0,360890.0,354438.0,358403.0,371112.0,379948.0,391362.0,384077.0,382685.0,373426.0,364932.0,372148.0,383347.0,396651.0,405139.0,405125.0,414161.0,407258.0,412337.0,410751.0,431007.0,431274.0,437885.0,436527.0,446742.0,460620.0,468538.0,477737.0,478580.0,478188.0,474708.0,473474.0,478512.0,490512.0,502766.0,518765.0,541313.0
394911,408,"New Philadelphia, OH",msa,OH,114055.0,115091.0,118204.0,122338.0,125412.0,122016.0,130066.0,123854.0,129034.0,124738.0,128788.0,125356.0,123041.0,119062.0,121792.0,114870.0,120546.0,123160.0,122839.0,125508.0,123568.0,132643.0,136197.0,134394.0,138883.0,135015.0,142270.0,144809.0,145705.0,148913.0,142938.0,151103.0,144868.0,150469.0,146198.0,149436.0,149679.0,151451.0,151080.0,161453.0,155007.0,153807.0,148405.0,151898.0,161416.0,165498.0,168319.0,165159.0
394928,409,"Ocean City, NJ",msa,NJ,352851.0,381296.0,390230.0,389820.0,365316.0,353087.0,341210.0,345790.0,356283.0,354588.0,351980.0,358953.0,373550.0,380001.0,381641.0,393388.0,406487.0,404904.0,388289.0,383705.0,399434.0,412978.0,410597.0,409183.0,420383.0,429765.0,438433.0,446427.0,461119.0,470996.0,477892.0,473826.0,471012.0,458930.0,461137.0,456796.0,463604.0,469496.0,484378.0,482923.0,486445.0,489230.0,481167.0,467823.0,447435.0,463262.0,492420.0,518299.0
395140,410,"Sunbury, PA",msa,PA,96501.0,99899.0,102267.0,93912.0,97186.0,96624.0,102226.0,103122.0,102250.0,108827.0,117471.0,116624.0,108740.0,103653.0,104686.0,104221.0,99151.0,100655.0,89818.0,98075.0,106076.0,118418.0,104043.0,95469.0,104593.0,116401.0,125414.0,119439.0,118395.0,111261.0,106476.0,98273.0,90791.0,95027.0,109559.0,119894.0,114737.0,110729.0,112439.0,120319.0,119325.0,111975.0,113768.0,107319.0,109827.0,95212.0,98777.0,99076.0
753887,411,"Hermiston, OR",msa,OR,190766.0,192156.0,189333.0,187791.0,180410.0,187543.0,194797.0,198298.0,193774.0,189233.0,193480.0,194993.0,198630.0,206987.0,209193.0,212317.0,213538.0,216768.0,222733.0,225929.0,229325.0,212580.0,207381.0,215423.0,225938.0,226700.0,223293.0,236503.0,241695.0,247442.0,235550.0,242656.0,239082.0,249861.0,249824.0,263743.0,269158.0,275266.0,275987.0,270618.0,274912.0,274329.0,274008.0,276559.0,285163.0,289881.0,298335.0,292247.0
394964,412,"Parkersburg, WV",msa,WV,108419.0,109218.0,116072.0,124732.0,129065.0,128610.0,126948.0,132416.0,135926.0,141678.0,133831.0,132279.0,126015.0,127933.0,117494.0,119189.0,118282.0,122821.0,120999.0,122576.0,124179.0,131057.0,136319.0,135644.0,137878.0,138596.0,149086.0,147141.0,146567.0,151539.0,155312.0,155856.0,160283.0,159510.0,159459.0,149065.0,150033.0,151025.0,151447.0,150559.0,149627.0,144401.0,147946.0,148137.0,158765.0,157057.0,160715.0,152125.0
394641,413,"Grants Pass, OR",msa,OR,272199.0,274090.0,275723.0,278043.0,280739.0,281904.0,283690.0,288032.0,289160.0,286746.0,280550.0,280595.0,279787.0,291665.0,291231.0,294814.0,290433.0,291158.0,291417.0,295045.0,292162.0,294873.0,296640.0,306247.0,321844.0,331841.0,337873.0,338795.0,341448.0,348479.0,349619.0,349600.0,355973.0,366928.0,371798.0,381792.0,381212.0,390352.0,382838.0,385189.0,382698.0,390697.0,406825.0,419781.0,417775.0,410512.0,402931.0,403329.0
394373,414,"Beaver Dam, WI",msa,WI,152192.0,147402.0,143593.0,140157.0,142055.0,144596.0,149779.0,152968.0,159161.0,159937.0,158707.0,159202.0,159291.0,160328.0,157848.0,154806.0,154187.0,157964.0,166581.0,170688.0,162958.0,165052.0,167593.0,180191.0,175797.0,183578.0,186607.0,195299.0,188108.0,186484.0,175934.0,192853.0,189588.0,195946.0,190857.0,193440.0,194932.0,195948.0,203601.0,208530.0,206876.0,200377.0,201719.0,198059.0,201848.0,204919.0,213401.0,214222.0
394980,416,"Pine Bluff, AR",msa,AR,94612.0,88497.0,92161.0,91668.0,104723.0,99692.0,98969.0,92582.0,103573.0,105873.0,114451.0,107877.0,109252.0,106324.0,98675.0,95511.0,101804.0,104384.0,112755.0,108660.0,113904.0,108845.0,108142.0,110301.0,100150.0,94614.0,95691.0,102262.0,110403.0,111067.0,120622.0,119450.0,118687.0,118111.0,120207.0,122934.0,126266.0,133767.0,134731.0,132067.0,124101.0,128588.0,135341.0,134734.0,131918.0,130384.0,129849.0,135651.0
395175,417,"Ukiah, CA",msa,CA,422275.0,405281.0,412126.0,402561.0,414439.0,402843.0,396834.0,395133.0,379674.0,385051.0,381838.0,394782.0,401443.0,399823.0,410028.0,408271.0,411225.0,402476.0,419633.0,406660.0,402373.0,384590.0,388005.0,412226.0,416149.0,443633.0,457174.0,464368.0,468540.0,474925.0,478924.0,483941.0,468813.0,471693.0,474290.0,497348.0,507047.0,502061.0,487025.0,481005.0,476191.0,485136.0,488952.0,495965.0,489803.0,494094.0,520832.0,544494.0
395248,418,"Zanesville, OH",msa,OH,115631.0,127488.0,127998.0,136513.0,135317.0,139600.0,139932.0,136206.0,131104.0,127075.0,123959.0,121231.0,126551.0,129847.0,131980.0,126521.0,129726.0,133781.0,136943.0,138927.0,140210.0,141463.0,137470.0,135906.0,140440.0,143706.0,145634.0,148959.0,148845.0,153412.0,148142.0,146546.0,141108.0,140402.0,150779.0,157508.0,166178.0,154830.0,158155.0,153512.0,166750.0,169571.0,168408.0,161977.0,154158.0,167436.0,165640.0,157636.0
394942,421,"Orangeburg, SC",msa,SC,132925.0,133601.0,128718.0,128393.0,124948.0,127078.0,118332.0,119588.0,125605.0,128590.0,125722.0,119470.0,119606.0,121494.0,115904.0,120418.0,124104.0,137967.0,117660.0,121398.0,119168.0,140869.0,139109.0,136305.0,129714.0,137396.0,140656.0,154281.0,153765.0,150632.0,150403.0,148019.0,151820.0,153243.0,154955.0,154639.0,155379.0,160825.0,169009.0,166416.0,156398.0,155820.0,164924.0,170879.0,178142.0,162752.0,161198.0,163512.0
394907,422,"New Castle, PA",msa,PA,96098.0,103065.0,108982.0,108096.0,99898.0,100277.0,97928.0,91940.0,91687.0,100994.0,112539.0,112843.0,112030.0,104653.0,95849.0,93776.0,101171.0,115731.0,116350.0,118591.0,108845.0,101888.0,100741.0,103787.0,109594.0,111605.0,103992.0,108005.0,107485.0,111905.0,115878.0,114208.0,114854.0,103561.0,107421.0,115001.0,125130.0,129151.0,130593.0,132066.0,126226.0,134582.0,139610.0,145448.0,139750.0,139781.0,145645.0,146651.0
395212,423,"Watertown, WI",msa,WI,210360.0,199218.0,186726.0,196763.0,194393.0,206635.0,201107.0,196721.0,203519.0,212332.0,219859.0,216292.0,213478.0,210333.0,209050.0,208053.0,228788.0,231386.0,234537.0,226240.0,228039.0,236718.0,233654.0,232155.0,225246.0,226800.0,229303.0,231699.0,238329.0,238125.0,240128.0,245483.0,246627.0,248437.0,235661.0,239206.0,240747.0,254970.0,257234.0,257064.0,245789.0,237364.0,230039.0,237659.0,255682.0,275637.0,290492.0,283286.0
394489,425,"Columbus, IN",msa,IN,177045.0,176763.0,170640.0,173705.0,169456.0,175462.0,176633.0,182513.0,178210.0,177619.0,180141.0,184154.0,185776.0,180530.0,175053.0,174113.0,179476.0,179517.0,180419.0,183582.0,184035.0,181580.0,174288.0,180967.0,183209.0,186724.0,189049.0,190423.0,202196.0,209188.0,212336.0,217319.0,210378.0,222728.0,217821.0,225593.0,221485.0,220513.0,221424.0,225473.0,232798.0,228309.0,230785.0,230639.0,236269.0,237259.0,239349.0,245632.0
394345,427,"Athens, TX",msa,TX,214663.0,216886.0,227357.0,232129.0,214804.0,208239.0,191120.0,198373.0,186895.0,190375.0,195078.0,198367.0,198771.0,206618.0,220889.0,225875.0,211826.0,216734.0,221990.0,225393.0,195339.0,204071.0,214344.0,248818.0,251596.0,256071.0,254368.0,249975.0,244463.0,250410.0,251896.0,251174.0,241060.0,255906.0,259797.0,260997.0,245162.0,257005.0,302614.0,331182.0,343988.0,306089.0,292982.0,273405.0,271587.0,287684.0,313322.0,327474.0
394847,428,"Meadville, PA",msa,PA,98276.0,97131.0,95001.0,100881.0,97648.0,98582.0,97605.0,99313.0,102907.0,102455.0,104978.0,104148.0,101635.0,102085.0,96106.0,100580.0,104246.0,109271.0,108895.0,109514.0,116062.0,115570.0,110335.0,103105.0,102875.0,104041.0,106385.0,114300.0,121275.0,127982.0,118332.0,113231.0,107041.0,119042.0,118102.0,118086.0,115452.0,122214.0,127320.0,130808.0,131209.0,134096.0,135580.0,142540.0,139890.0,143310.0,143170.0,149466.0
394704,429,"Indiana, PA",msa,PA,96246.0,93363.0,98657.0,99707.0,102170.0,104490.0,108024.0,101000.0,98554.0,102568.0,111486.0,107626.0,107035.0,106208.0,113978.0,106556.0,99779.0,104871.0,109606.0,120000.0,122772.0,120324.0,107700.0,92023.0,88310.0,102084.0,113811.0,127560.0,120444.0,119877.0,109678.0,118196.0,119146.0,127911.0,120881.0,118652.0,118264.0,125215.0,125279.0,124512.0,124892.0,132313.0,131690.0,132308.0,128018.0,129328.0,124388.0,124738.0
394859,430,"Midland, MI",msa,MI,140770.0,136999.0,141076.0,138914.0,147603.0,147185.0,145425.0,138344.0,137228.0,143058.0,142370.0,145000.0,138154.0,144959.0,146656.0,152927.0,150637.0,142845.0,139100.0,137170.0,145056.0,143997.0,143824.0,146460.0,147225.0,151167.0,151115.0,163504.0,154537.0,148622.0,148677.0,156800.0,165975.0,164937.0,169748.0,172718.0,176941.0,177763.0,178997.0,179441.0,190348.0,194684.0,192522.0,191258.0,192222.0,201748.0,205783.0,211109.0
394682,431,"Hinesville, GA",msa,GA,152731.0,143572.0,138788.0,142614.0,139346.0,142875.0,149600.0,154663.0,151276.0,142310.0,149458.0,158875.0,163126.0,154166.0,149520.0,146946.0,150108.0,147833.0,148225.0,149007.0,156102.0,160226.0,170760.0,172346.0,173408.0,167020.0,168113.0,168031.0,169472.0,174095.0,173212.0,171440.0,169733.0,171380.0,175500.0,179588.0,186074.0,187056.0,192378.0,192104.0,195435.0,200331.0,200987.0,205910.0,204643.0,212013.0,214001.0,220033.0
