RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
102001,0,United States,country,,0.22055336318127916,0.24450539190263196,0.2663474268379928,0.27953358455842964,0.2791016827521287,0.26618518992270007,0.2450480122823243,0.22531596966583425,0.2088289285864613,0.19519932740242418,0.18197197940150697,0.17926408244259753,0.18782972724519684,0.2090314673004646,0.23085514951926064,0.24742414341483646,0.2523954737026216,0.24562628412379106,0.23380665563536226,0.2216967637076812,0.21278939165372482,0.20331461242290486,0.19331409201153069,0.19348977923202706,0.21073184480384474,0.24134749157657845,0.2579244101894697,0.2656637211701698,0.27450847329895106,0.2973758153136042,0.32230562136433294,0.33977124424268323,0.3509412756324785,0.350798040342614,0.3452108511291723,0.3462956218173936,0.37279962959806406,0.42533812067557847,0.4853663787103937,0.534242468185144,0.5570756707493971,0.5521435856866753,0.5244420519120833,0.49050484935839544,0.4640023010789478,0.4478886930084604,0.4367717266816616,0.4445840983927345,0.47890629252280653,0.5325564523345445,0.5744569119951008,0.5818709599020746,0.5460120218127368
394913,1,"New York, NY",msa,NY,0.19093886864259987,0.19502918036968475,0.20551287221331235,0.22525156406215066,0.23632170527397892,0.24492462569627152,0.2350717881183666,0.22015696037294163,0.2020922071953851,0.1920885607425806,0.1845293134670255,0.17550830178547006,0.17347303074557566,0.17728635029269804,0.1937776147398985,0.20791935210343407,0.21897504452186797,0.22033759396920907,0.20887509451361852,0.19763086002174002,0.189471057428061,0.19150300565059966,0.1900702301056876,0.1832938500974056,0.18679999221167376,0.20759013793057257,0.2264607927659903,0.23294481885067722,0.24258081817638907,0.28029041939415394,0.32781419527112937,0.36687036309968857,0.38713011065691405,0.39787696322229044,0.3982311110589574,0.38722152281410493,0.38016258485244525,0.3883264039981537,0.4267357415183248,0.47423327785732455,0.5176746145897145,0.5391282091339101,0.5382659890098207,0.5206600098342936,0.4974189385677446,0.481831317018724,0.4668828364502858,0.4587059102827227,0.46175657255805014,0.4986669175396618,0.5502350840894602,0.6008063292548866,0.6175245912112723
753899,2,"Los Angeles, CA",msa,CA,0.3889301325365517,0.4203701764031201,0.44007111915145,0.4434295417987421,0.43374412508547805,0.4116319138643559,0.38133807632665295,0.351311546745997,0.3256445462663071,0.30499784184136863,0.28332087499603803,0.2722481401211183,0.2767674736277168,0.3020461598343869,0.3254222326648048,0.34414581657833887,0.3448963546656478,0.344808494047903,0.338249957737613,0.33867710826318803,0.33955426500855684,0.33994748683928333,0.3314009351603366,0.34186537436580683,0.3763775656343787,0.4235174942881166,0.41793952749255076,0.3881710051046816,0.3735649943356581,0.4023302749059419,0.44667119127374555,0.4770136623272047,0.5017347065855232,0.5110356392056304,0.5124388543857624,0.5160530855737494,0.5452165210040261,0.5940083226253418,0.6402141789394323,0.6719345970845126,0.6868770388859881,0.6850660042713742,0.668757107516777,0.6516662181312839,0.6452105036246244,0.6456206052663904,0.6440977275765509,0.6634165686513199,0.699369890954756,0.7412041258446772,0.7557774267589,0.7342762448110373,0.6680468093778101
394463,3,"Chicago, IL",msa,IL,0.14004895838365797,0.15750218903631888,0.17685270150851196,0.18813548673153035,0.18899153292060886,0.18131284117130872,0.1691728560411309,0.15657794443814546,0.14561366430194675,0.1335242804376798,0.12249362445421745,0.11895456542995497,0.12790142006678948,0.1431875593963854,0.1589279838521522,0.16856464108725253,0.17382466847439912,0.1694452253126777,0.16144116019307905,0.15281649529962057,0.14329913317630324,0.1350800803016926,0.12578453031617545,0.12320801365038196,0.1303649521527617,0.14496214975590518,0.15772050142502003,0.16498107454685582,0.17845438358494015,0.19920639551360067,0.2230141224044954,0.23999383461617932,0.24825651695502535,0.25152155130347104,0.24404034447483716,0.2472026159325386,0.26950686253953643,0.32214317068443005,0.38962216962345525,0.4469730321294129,0.47570798158241195,0.4662629422498607,0.427642210749684,0.3832259395480193,0.34692693403247143,0.324973923496269,0.309047412356181,0.31732689195261266,0.36229171259693854,0.43794676944402716,0.5099132519862171,0.5450377185380031,0.5295296397845376
394514,4,"Dallas, TX",msa,TX,0.2526224115103596,0.28251531150780657,0.3041334018106418,0.3122543755143465,0.3059223173416581,0.2814331938209675,0.253426700497964,0.22661793279460052,0.20896326459223338,0.19444945678546544,0.18294421839268638,0.18451130505725455,0.19568732507578937,0.21674205691960302,0.22980651279516737,0.2363483378144633,0.23373436568154723,0.22474377494027173,0.21236110434941557,0.20025232486158265,0.19064163220732935,0.18291832180761788,0.17443258136857417,0.1796308090214779,0.19656244411531895,0.2203739081471788,0.22861283897988083,0.23807451036367247,0.2504834017347721,0.27844863454764684,0.2992361886462244,0.31363742626296837,0.3241195124726717,0.3314114058443523,0.3394993422626977,0.37323659909693047,0.4337849507371498,,,0.668336597888751,0.6861980700816553,0.671656543537193,0.630430145299456,0.5869370985023542,0.5574102921264056,0.5497165075541918,0.5510830538742136,0.577149632179598,0.6297315780401171,0.6948486746732742,0.7322951328694484,0.7210045381034202,0.655301993337726
394692,5,"Houston, TX",msa,TX,0.1420612468302903,0.15536082379216873,0.16699010188923813,0.1737671836652107,0.16975669363324922,0.16460931407397106,0.15447097996263204,0.14673235708092167,0.14265707355071508,0.13974764925531644,0.14209445441219773,0.14486958466179384,0.1464165207662374,0.15630110045658605,0.161987209324125,0.17054728890060722,0.1661847456290208,0.15659659595263717,0.15027490818438213,0.14348247871050762,0.1450718885631415,0.1396069496800181,0.1376473417137901,0.13691518925630444,0.14361257527393237,0.15592109426855522,0.15953854728083292,0.1632543035912664,0.1684420682292166,0.18103279199467015,0.18989163208869544,0.19448531872362732,0.20201620199547363,0.20593979773898038,0.21133356928617011,0.2192536904883504,0.25087653282942646,,,,,0.46496800123059573,0.4288029791001517,0.3897931340591911,0.36383351591828667,0.3539772093645562,0.35762224429899,0.3726435805823532,0.4129919571801661,0.4643709964091686,0.511151251602433,0.5208393881470131,0.4871910951844298
395209,6,"Washington, DC",msa,VA,0.24373609747799443,0.28961720425306775,0.3141259672528793,0.33425067383677914,0.31938620519010347,0.2991650582005276,0.2738445945882913,0.25991279928340627,0.24878397783349734,0.24087326220443372,0.23022212739051895,0.23594304078918396,0.26075122099392006,0.3048575581532737,0.335714917528533,0.3456953457496233,0.32901671722505044,0.30958875202875186,0.28743556814311183,0.27770492391694857,0.27127999471624836,0.2694795831936146,0.25597798140312605,0.2672821693378317,0.3018322454269014,0.35910563884121904,0.36979688019651374,0.3648141828307869,0.36616464164807966,0.3947910213580968,0.43054002374756434,0.4567319277650344,0.47764607052325153,0.4771390361323497,0.46619414331406034,0.472342428250224,0.5142876014733208,0.570356163713223,0.6251281277870221,0.6469273836156106,0.63718684237704,0.5922654864754011,0.5399552247472538,0.49536987788243897,0.46721419116941704,0.4515108956949521,0.44343204533941066,0.4798131018161424,0.5449889508368431,0.6284757711457217,0.6667692160471185,0.6515016335913835,0.5867060701337837
394856,7,"Miami, FL",msa,FL,0.07478220484175864,0.07944130436826535,0.08132147199766847,0.08527617386816311,0.08342831661007429,0.08470947197927997,0.08336839936303957,0.07831710734816767,0.07527569068914161,0.07323223162208908,0.07200166438453164,0.06768513414531506,0.06614634338946514,0.06924373847761466,0.0728669038511829,0.07722275294988727,0.0779878346078741,0.08064674926331832,0.07808288251344679,0.08004334461554506,0.07914506752949922,0.07909246968244261,0.07440350969883373,0.06975847570516323,0.0738383148422106,0.08078576116978456,0.0879663925798585,0.08851656269326554,0.09309975281436082,0.0992421745939897,0.11283429481653336,0.1246644231079392,0.13566623143965673,0.1402861656386781,0.13728342125662338,0.13450520668465357,0.14096346579121774,0.1608120693765106,0.19480179567410674,0.2300399750299332,0.26418851243897495,0.28183407212218575,0.28145621117162073,0.2736445323496977,0.2654248493779331,0.2713929700311992,0.2695257257279715,0.280930072473546,0.3061723291107141,0.3513194648578272,0.39075682683434704,0.40552570009655203,0.38916962159904883
394974,8,"Philadelphia, PA",msa,PA,0.1891641485442056,0.19815249096548504,0.20745963085002614,0.21243814851265808,0.21941453297918653,0.21998374195115855,0.21395557907744087,0.20456884092059444,0.19025473913031654,0.1814170555385224,0.17043718042636138,0.1603766405404757,0.1629831925467234,0.17727952053321636,0.21069533393701886,0.22978906355814643,0.2435727434884499,0.232164108493896,0.22050217349875045,0.20643911079202662,0.20622449775015714,0.20117090460172646,0.19362758667631016,0.18867280378235976,0.20437156052575986,0.237868940469099,0.2626589539376913,0.263273507968586,0.2689483623870332,0.2902652106658318,0.33070703491711634,0.3573986658551614,0.3764561933187258,0.37904953779798173,0.37607896867039603,0.364678792633294,0.3823307877639793,0.41641894942703034,0.4725403353023048,0.5174453021203994,0.5493797952100211,0.5530646200289961,0.5320238167820023,0.4993734212573398,0.47160312715070757,0.4566415368446874,0.4463179324938777,0.440585505390737,0.4566068418324672,0.4992009695597089,0.5535136014956763,0.5886420659983463,0.5903680479076937
394347,9,"Atlanta, GA",msa,GA,0.1931847449955341,0.2236881405825778,0.24871575831806045,0.2619420587750349,0.2576606108266586,0.23937309263250528,0.22160385305557864,0.20364053397740425,0.1910359305675637,0.18217390192668861,0.17319348779578936,0.17486676633655174,0.17835534531923256,0.1948646636470169,0.20821060483164958,0.21892758162563938,0.21872261339767743,0.21185425198836808,0.2030386076070011,0.19243999204359966,0.18181278341326199,0.1728937967143357,0.1658869064199509,0.167977266689635,0.1804508563552094,0.2068262600097155,0.2291693845145899,0.2356215646452473,0.2420253602401047,0.2523153109497115,0.27882961228655617,0.30035071896356363,0.3159506759524902,0.33090156694827333,0.3350889850595174,0.3568207677275199,0.39341514777332587,0.46114172832600403,0.5247025397603046,0.5699528950050764,0.5891698487291881,0.5862573904056191,0.5674898013612317,0.5417174250331468,0.5282406959455362,0.5200837474076198,0.5119366978307478,0.5138756376304605,0.5425548391278668,0.5927026650510726,0.6334026694612854,0.6392063560949232,0.6003030736518927
