project_name,project_name_crawl,project_name_hd,address,city,district,ward,lat_cdnt,long_cdnt,alias,alias_cum_perc,sector,building,max_building_num,project_name_accent_rm
Tân Thành Village,Tân Thành Village,,"Đường Hắc Dịch, xã Phú Mỹ, Tân Thành, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TX. Phú Mỹ,P. Phú Mỹ,,,,,,,,Tan Thanh Village
Tân Thành Eco City,Tân Thành Eco City,,"Phường Đông Vệ, TP. Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,P. Đông Vệ,,,,,,,,Tan Thanh Eco City
Tân Thành Center City,Tân Thành Center City,,"Đường 1, Đồng Xoài, Bình Phước.",T. Bình Phước,TP. Đồng Xoài,UNK,,,,,,,,Tan Thanh Center City
Tân Phước Plaza,Tân Phước Plaza,,"Đường Lý Nam Đế, Phường 7, Quận 11, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 11,P. 07,,,"Bán Căn Hộ Chung Cư Tại Tân Phước Plaza, Bán Chung Cư Chung Cư Tân Phước, Tân Phước Plaza, Căn Hộ Chung Cư Tân Phước",1.0,,,,Tan Phuoc Plaza
Tân Mỹ,Chung cư Tân Mỹ,,"Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Tân Phú,,,"Bán Chung Cư Chung Cư Tân Mỹ, Căn Hộ Chung Cư Tân Mỹ, Chung Cư Tân Mỹ",0.6907894737,,,,Tan My
Tân Lân Riverside,Tân Lân Riverside,,"Đường Quốc Lộ 50, Xã Tân Lân, Cần Đước, Long An.",T. Long An,H. Cần Đước,X. Tân Lân,,,,,,,,Tan Lan Riverside
Tân Hương Tower,Tân Hương Tower,Chung cư Tân Hương Tower,"118 Tân Hương, P.Tân Quý, Q.Tân Phú, Tp.HCM.",TP. Hồ Chí Minh,Q. Tân Phú,P. Tân Quý,10.79030911,106.6268941,"Căn Hộ Chung Cư Tân Hương Tower, Tân Hương Tower",0.74,,,,Tan Huong Tower
Tân Bình Apartment,Tân Bình Apartment,,"32 Hoàng Bật Đạt, Phường 15, Tân Bình, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Bình,P. 15,,,Căn Hộ Chung Cư Tân Bình Apartment,1.0,,,,Tan Binh Apartment
Tân An Riverside An Nhơn,Tân An Riverside An Nhơn,,"Đường Trần Phú, Phường Bình Định, An Nhơn, Bình Định.",T. Bình Định,TX. An Nhơn,P. Bình Định,,,,,,,,Tan An Riverside An Nhon
Tái Định Cư C18 Xuân La,Chung cư Tái định cư C18 Xuân La,,"655 Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội.",TP. Hà Nội,Q. Tây Hồ,P. Xuân La,,,,,,,,Tai Dinh Cu C18 Xuan La
Tái Định Cư Bình Khánh,Tái định cư Bình Khánh,,"Phường Bình Khánh, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,UNK,,,,,,,,Tai Dinh Cu Binh Khanh
FLC Twin Towers,Twin Towers,Twin Towers,"265 Cầu Giấy, P. Dịch Vọng, Q. Cầu Giấy, TP. Hà Nội",TP. Hà Nội,Q. Đống Đa,P. Dịch Vọng,21.03449528,105.7949764,"Bán Chung Cư Flc Twin Tower, Tòa Nhà Flc Twin Towers, Bamboo Airways Tower, Căn Hộ Chung Cư Flc Twin Towers, Bán Căn Hộ Chung Cư Tại Bamboo Airways Tower",1.0,,,,Flc Twin Towers
Tuệ Tĩnh,Chung cư Tuệ Tĩnh,,"Đường Tuệ Tĩnh, Phường 12, Quận 11, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 11,P. 12,,,,,,,,Tue Tinh
Tuần Châu Marina Hạ Long,Tuần Châu Marina Hạ Long,,"Phường Tuần Châu, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Tuần Châu,,,,,,,,Tuan Chau Marina Ha Long
Tulip Tower,Tulip Tower,,"15 Hoàng Quốc Việt, phường Phú Thuận, quận 7, Tp.HCM.",TP. Hồ Chí Minh,Q. 07,P. Phú Thuận,,,"Tulip Tower, Bán Căn Hộ Chung Cư Tại Tulip Tower, Căn Hộ Chung Cư The Tulip Tower",1.0,,,,Tulip Tower
Tttm Và Phố Chợ Đô Nghĩa,TTTM và Phố chợ Đô Nghĩa,,"Phường Yên Nghĩa, Quận Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Yên Nghĩa,,,Tttm Và Phố Chợ Đô Nghĩa,1.0,,,,Tttm Va Pho Cho Do Nghia
Tsq Galaxy,TSQ Galaxy,,"Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Vạn Phúc,,,Tsq Galaxy,1.0,,,,Tsq Galaxy
Tsg Lotus Sài Đồng,TSG Lotus Sài Đồng,TSG Lotus Sài Đồng,"190 Phố Sài Đồng, Phường Việt Hưng, Long Biên, Hà Nội.",TP. Hà Nội,Q. Long Biên,P. Việt Hưng,21.0391251,105.9137446,,,,,,Tsg Lotus Sai Dong
Trị Yên Riverside,Trị Yên Riverside,,"Đường 835B, Xã Long Thượng, Cần Giuộc, Long An.",T. Long An,H. Cần Giuộc,X. Long Thượng,,,,,,,,Tri Yen Riverside
Trần Văn Kiểu,Chung cư Trần Văn Kiểu,,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 10,P. 14,,,"Chung Cư Trần Văn Kiểu, Bán Chung Cư Trần Văn Kiểu",0.6774193548,,,,Tran Van Kieu
Trần Hưng Đạo Plaza,Trần Hưng Đạo Plaza,,"Lô 1,2 Đường Trần Hưng Đạo, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,UNK,,,,,,,,Tran Hung Dao Plaza
Trần Anh Riverside,Trần Anh Riverside,,"Tỉnh lộ 824, Bến Lức, Long An.",T. Long An,H. Bến Lức,TT. Bến Lức,,,,,,,,Tran Anh Riverside
Trường Thành Ii,Chung cư Trường Thành II,,"36 đường Nguyễn Kiệm, Phường Trường Thi, Vinh, Nghệ An.",T. Nghệ An,TP. Vinh,P. Trường Thi,,,,,,,,Truong Thanh Ii
Trương Định Complex,Trương Định Complex,Trương Định Complex,"Ngõ 129D, Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Trương Định,20.9916,105.851004,"Trương Định Complex, chung cư 129D Trương Định",1.0,,,,Truong Dinh Complex
Trương Đình Hội 2 (U - Life),Trương Đình Hội 2 (U - Life),,"44 Trương Đình Hội, Phường 16, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 16,,,,,,,,Truong Dinh Hoi 2 (U - Life)
Tràng An Complex,Tràng An Complex,Tràng An Complex,"Số 1 Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Nghĩa Đô,21.044165,105.803451,Tràng An Complex,0.7118644068,,,,Trang An Complex
Trung Đức Tower,Trung Đức Tower,,"2 Đường Lê Lợi, Phường Hưng Bình, Vinh, Nghệ An.",T. Nghệ An,TP. Vinh,P. Hưng Bình,,,,,,,,Trung Duc Tower
Trung Đông Plaza,Trung Đông Plaza,,"30 Trịnh Đình Thảo, phường Hoà Thạnh, Quận Tân Phú, TPHCM.",TP. Hồ Chí Minh,Q. Tân Phú,P. Hòa Thạnh,,,Trung Đông Plaza,1.0,,,,Trung Dong Plaza
Trung Yên Plaza,Trung Yên Plaza,Trung Yên Plaza,"Đường Trung Yên 11, Phường Trung Hòa, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Trung Hòa,21.013736,105.801818,Trung Yên Plaza,0.7096774194,,,,Trung Yen Plaza
Trung Tâm Thương Mại Hàng Da,Trung tâm thương mại Hàng Da,,"Phố Hàng Da, Phường Cửa Đông, Hoàn Kiếm, Hà Nội.",TP. Hà Nội,Q. Hoàn Kiếm,P. Cửa Đông,,,Bán Căn Hộ Chung Cư Tại Trung Tâm Thương Mại Khương Đình,1.0,,,,Trung Tam Thuong Mai Hang Da
Tropic Garden,Tropic Garden,Chung cư Tropic Garden,"Phố 66, Phường Thảo Điền, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thảo Điền,10.814011,106.728818,"Tropic Garden, Feliz Homes, Bán Căn Hộ Chung Cư Tại Tropic Garden, Bán Chung Cư Tropic Garden, Căn Hộ Chung Cư Tropic Garden",0.9908136483,,,,Tropic Garden
Triều An Tower,Triều An Tower,,"Đường Bùi Tư Toàn, Phường An Lạc, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. An Lạc,,,Triều An Tower,1.0,,,,Trieu An Tower
Trinity Tower,Trinity Tower,,"145 Hồ Mễ Trì, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Nhân Chính,,,"Bán Căn Hộ Chung Cư Tại Đường Hồ Mễ Trì, Bán Căn Hộ Chung Cư Tại Trinity Tower, Căn Hộ Chung Cư Trinity Tower, Trinity Tower",0.9972640219,,,,Trinity Tower
Trang Đạt,Chung cư Trang Đạt,,"1 Đường Ngô Miễn, Phường Phúc Thắng, Phúc Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Phúc Yên,P. Phúc Thắng,,,,,,,,Trang Dat
Toà Nhà Hỗn Hợp Vườn Đào,Toà nhà hỗn hợp Vườn Đào,,"689 Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội.",TP. Hà Nội,Q. Tây Hồ,P. Phú Thượng,,,Bán Chung Cư Toà Nhà Hỗn Hợp Vườn Đào,0.5310344828,,,,Toa Nha Hon Hop Vuon Dao
Toà Nhà Cowaelmic,Toà nhà Cowaelmic,,"198 Nguyễn Tuân, Phường Nhân Chính, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Nhân Chính,,,"Cowaelmic 198 Nguyễn Tuân, Toà Nhà Cowaelmic, Bán Căn Hộ Chung Cư Tại Toà Nhà Cowaelmic",1.0,,,,Toa Nha Cowaelmic
Kinh Đô Tower,Toà nhà 93 Lò Đúc - Kinh Đô Tower,,"Số 93 phố Lò Đúc, Phường Phạm Đình Hổ, Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Phạm Đình Hổ,,,"Chung cư 93 Lò Đúc, Kinh Đô Tower",,,,,Kinh Do Tower
Toà Nhà 335 Cầu Giấy,Toà nhà 335 Cầu Giấy,,"335 Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Dịch Vọng,,,"Bán Căn Hộ Chung Cư Tại Toà Nhà 335 Cầu Giấy, 335 Cầu Giấy, Bán Chung Cư Tòa Nhà 335 Cầu Giấy, Toà Nhà 335 Cầu Giấy",0.9946808511,,,,Toa Nha 335 Cau Giay
Toà Nhà 27 Huỳnh Thúc Kháng,Toà nhà 27 Huỳnh Thúc Kháng,,"27 Huỳnh Thúc Kháng, P.Láng Hạ, Q. Đống Đa, TP. Hà Nội",TP. Hà Nội,Q. Đống Đa,P. Láng Hạ,21.01812165,105.8114339,Toà Nhà 27 Huỳnh Thúc Kháng,0.7692307692,,,,Toa Nha 27 Huynh Thuc Khang
Toà Nhà 249A Thụy Khuê,Toà nhà 249A Thụy Khuê,,"249A Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội.",TP. Hà Nội,Q. Tây Hồ,P. Thụy Khuê,,,"Toà Nhà 249A Thụy Khuê, 249A Thụy Khuê",1.0,,,,Toa Nha 249A Thuy Khue
Toplife Tower,Toplife Tower,,"Số 376 Điện Biên Phủ, Phường 11, Quận 10, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 10,P. 11,,,,,,,,Toplife Tower
Topaz Twins,Topaz Twins,Chung cư Topaz Twins,"Đường Võ Thị Sáu, Phường Thống Nhất, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Thống Nhất,10.95114609,106.828353,,,,,,Topaz Twins
Topaz Home 2,Topaz Home 2,Chung cư Topaz Home 2,"Đường 154, Phường Tân Phú, Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Tân Phú,10.8644491,106.8103855,,,,,,Topaz Home 2
Topaz Home,Topaz Home,,"Số 102 đường Phan Văn Hớn, phường Tân Thới Nhất, quận 12, Tp.HCM.",TP. Hồ Chí Minh,Q. 12,P. Tân Thới Nhất,,,Topaz Home,0.6287703016,,,,Topaz Home
Topaz Garden,Topaz Garden,Chung cư Topaz Garden,"Đường Trịnh Đình Thảo, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Phú,P. Hòa Thạnh,10.77534991,106.6339727,Topaz Garden,0.7699275362,,,,Topaz Garden
Topaz Elite,Topaz Elite,Chung cư Topaz Elite,"Số 195 Cao Lỗ, phường 4, quận 8, Tp.HCM.",TP. Hồ Chí Minh,Q. 08,P. 04,10.739722,106.679643,"Bán Chung Cư Căn Hộ Topaz Elite, Topaz City, Bán Căn Hộ Chung Cư Tại Topaz Elite, Topaz Elite, Căn Hộ Chung Cư Topaz Elite",0.997763951,,,,Topaz Elite
Topaz City,Topaz City,,"Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 04,,,"Khu Đô Thị Topaz City, Căn Hộ Chung Cư Topaz City, Topaz City, Topaz City_Block A1, B1, B2, Bán Chung Cư Topaz City",0.9916545718,,,,Topaz City
Tokyo Tower,Tokyo Tower,,"Số 55 đường 430, phường Vạn Phúc, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Vạn Phúc,,,,,,,,Tokyo Tower
To Hop  Thuy Loi Tower,Tổ hợp chung cư Thủy Lợi Tower,,"Phố Lê Trọng Tấn, Phường Quang Trung, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Quang Trung,,,Tổ Hợp Chung Cư Thủy Lợi Tower,1.0,,,,To Hop  Thuy Loi Tower
TNR The Nosta,TNR The Nosta,,"90 Đường Láng, P. Ngã Tư Sở, Q. Đống Đa, TP. Hà Nội.",TP. Hà Nội,Q. Đống Đa,P. Ngã Tư Sở,21.00410469,105.818694,"Bán Căn Hộ Chung Cư Tại Tnr The Nosta, Dự Án Tnr The Nosta, Căn Hộ Chung Cư Tnr The Nosta, Tnr The Nosta",1.0,,,,Tnr The Nosta
Tnr Stars Đông Mai,TNR Stars Đông Mai,,"Đường Quốc lộ 18, Phường Đông Mai, Huyện Quảng Yên, Quảng Ninh.",T. Quảng Ninh,TX. Quảng Yên,P. Đông Mai,,,,,,,,Tnr Stars Dong Mai
Tnr Stars Đak Đoa,TNR Stars Đak Đoa,,"Đường Trần Hưng Đạo, Thị trấn Đak Đoa, huyện Đăk Đoa, Gia Lai.",T. Gia Lai,H. Đăk Đoa,TT. Đăk Đoa,,,,,,,,Tnr Stars Dak Doa
Tnr Stars Thái Hòa,TNR Stars Thái Hòa,,"Phường Long Sơn, Thái Hòa, Nghệ An.",T. Nghệ An,TX. Thái Hòa,P. Long Sơn,,,,,,,,Tnr Stars Thai Hoa
Tnr Stars Thoại Sơn,TNR Stars Thoại Sơn,,"Thị trấn Núi Sập, Thoại Sơn, An Giang.",T. An Giang,H. Thoại Sơn,TT. Núi Sập,,,,,,,,Tnr Stars Thoai Son
Tnr Stars Lam Sơn,TNR Stars Lam Sơn,,"Đường Quốc lộ 47, Thị trấn Lam Sơn, Huyện Thọ Xuân, Thanh Hóa.",T. Thanh Hóa,H. Thọ Xuân,TT. Thọ Xuân,,,,,,,,Tnr Stars Lam Son
Tnr Stars Gành Hào,TNR Stars Gành Hào,,"Đường 19/5, Thị trấn Gành Hào, Huyện Đông Hải, Bạc Liêu.",T. Bạc Liêu,H. Đông Hải,TT. Gành Hào,,,,,,,,Tnr Stars Ganh Hao
Tnr Stars Diễn Châu,TNR Stars Diễn Châu,,"Xã Diễn Kỷ, Diễn Châu, Nghệ An.",T. Nghệ An,H. Diễn Châu,X. Diễn Kỷ,,,,,,,,Tnr Stars Dien Chau
Tnr Stars Cao Phong,TNR Stars Cao Phong,,"Thị trấn Cao Phong, Huyện Cao Phong, Hòa Bình.",T. Hòa Bình,H. Cao Phong,TT. Cao Phong,,,,,,,,Tnr Stars Cao Phong
Tnr Stars Cao Bằng,TNR Stars Cao Bằng,,"Đường 3, Phường Đề Thám, Cao Bằng, Cao Bằng.",T. Cao Bằng,TP. Cao Bằng,P. Đề Thám,,,,,,,,Tnr Stars Cao Bang
Tnr Stars Bỉm Sơn,TNR Stars Bỉm Sơn,,"Cổ Đam, Phường Lam Sơn, Thị xã Bỉm Sơn, Thanh Hóa.",T. Thanh Hóa,TX. Bỉm Sơn,UNK,,,,,,,,Tnr Stars Bim Son
Tnr Star Đồng Văn,TNR Star Đồng Văn,,"Đường 38, Thị trấn Đồng Văn, Duy Tiên, Hà Nam.",T. Hà Nam,TX. Duy Tiên,P. Đồng Văn,,,,,,,,Tnr Star Dong Van
Tnr Star Tân Trường,TNR Star Tân Trường,,"Cẩm Giàng, Hải Dương.",T. Hải Dương,H. Cẩm Giàng,TT. Cẩm Giang,,,,,,,,Tnr Star Tan Truong
Tnr Star Riverside Nam Sách,TNR Star Riverside Nam Sách,,"Xã Ái Quốc, Hải Dương, Hải Dương.",T. Hải Dương,TP. Hải Dương,P. Ái Quốc,,,,,,,,Tnr Star Riverside Nam Sach
Tnr Star Bắc Giang,TNR Star Bắc Giang,,"Thị trấn Thắng, Hiệp Hòa, Bắc Giang.",T. Bắc Giang,H. Hiệp Hòa,TT. Thắng,,,,,,,,Tnr Star Bac Giang
Tnr Phố Nối,TNR Phố Nối,,"Phố Phố Nối, Mỹ Hào, Hưng Yên.",T. Hưng Yên,TX. Mỹ Hào,UNK,,,,,,,,Tnr Pho Noi
Tnr Grand Palace River Park Uông Bí,TNR Grand Palace River Park Uông Bí,,"Đường Quốc lộ 18, Phường Trưng Vương, Uông Bí, Quảng Ninh.",T. Quảng Ninh,TP. Uông Bí,P. Trưng Vương,,,,,,,,Tnr Grand Palace River Park Uong Bi
Tnr Grand Palace Cao Bằng,TNR Grand Palace Cao Bằng,,"Đường Kim Đồng, Phường Hợp Giang, Thị xã Cao Bằng, Cao Bằng.",T. Cao Bằng,TP. Cao Bằng,UNK,,,,,,,,Tnr Grand Palace Cao Bang
Tnr Amaluna Trà Vinh,TNR Amaluna Trà Vinh,,"Đường Võ Nguyên Giáp, Phường 7, Trà Vinh, Trà Vinh.",T. Trà Vinh,TP. Trà Vinh,P. 07,,,,,,,,Tnr Amaluna Tra Vinh
Tng Village,TNG Village,,"206 Đường Minh Cầu, Thái Nguyên, Thái Nguyên.",T. Thái Nguyên,TP. Thái Nguyên,UNK,,,,,,,,Tng Village
Tms Homes Wonder World,TMS Homes Wonder World,,"Phường Hội Hợp, Vĩnh Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Vĩnh Yên,P. Hội Hợp,,,,,,,,Tms Homes Wonder World
Tms Grand City Phúc Yên,TMS Grand City Phúc Yên,,"Phường Hùng Vương, Phúc Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Phúc Yên,P. Hùng Vương,,,,,,,,Tms Grand City Phuc Yen
Tiểu Khu Đô Thị Nam La Khê,Tiểu khu đô thị Nam La Khê,,"Phường La Khê, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. La Khê,,,Khu Đô Thị Mới La Khê,1.0,,,,Tieu Khu Do Thi Nam La Khe
Tiểu Khu Đô Thị Mới Vạn Phúc,Tiểu khu đô thị mới Vạn Phúc,,"Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Vạn Phúc,,,,,,,,Tieu Khu Do Thi Moi Van Phuc
Tiền Hải Center City,Tiền Hải Center City,,"Xã Tây Giang, Tiền Hải, Thái Bình.",T. Thái Bình,H. Tiền Hải,X. Tây Giang,,,,,,,,Tien Hai Center City
Tiến Lộc Riverside Plaza,Tiến Lộc Riverside Plaza,,"Đường Quốc lộ 1A, Phủ Lý, Hà Nam.",T. Hà Nam,TP. Phủ Lý,UNK,,,,,,,,Tien Loc Riverside Plaza
Tiên Sa Villas,Tiên Sa Villas,,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Bình Hưng Hòa,,,,,,,,Tien Sa Villas
Tiny House,Tiny House,,"Đường Tô Ngọc Vân, phường Thạnh Xuân, quận 12, Tp.HCM.",TP. Hồ Chí Minh,Q. 12,P. Thạnh Xuân,,,,,,,,Tiny House
Tinh Thành Quốc Tế,Tinh Thành Quốc tế,,"Khu đô thị Cựu Viên, đường Lê Duẩn, phường Bắc Sơn, Kiến An, Hải Phòng.",TP. Hải Phòng,Q. Kiến An,P. Bắc Sơn,,,,,,,,Tinh Thanh Quoc Te
Tincom Pháp Vân,Chung cư Tincom Pháp Vân,,"Xã Tứ Hiệp, Thanh Trì, Hà Nội.",TP. Hà Nội,H. Thanh Trì,X. Tứ Hiệp,,,Tincom Pháp Vân,0.5,,,,Tincom Phap Van
Tincom City Point,Tincom City Point,,"41 Phương Liệt, Phường Phương Liệt, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Phương Liệt,,,,,,,,Tincom City Point
Times Tower,Times Tower - HACC1 Complex Building,Times Tower,"26 Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Nhân Chính,21.002698,105.801669,,,,,,Times Tower
Times Square Hà Nội,Times Square Hà Nội,,"Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mễ Trì,,,,,,,,Times Square Ha Noi
Times Garden Vĩnh Yên,Times Garden Vĩnh Yên,,"Đường Lý Nam Đế, Phường Khai Quang, Vĩnh Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Vĩnh Yên,P. Khai Quang,,,,,,,,Times Garden Vinh Yen
Times Garden Hạ Long,Times Garden Hạ Long,,"Đường 25/4, Phường Bạch Đằng, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Bạch Đằng,,,,,,,,Times Garden Ha Long
Time Hội An,Time Hội An,,"Phường Sơn Phong, Hội An, Quảng Nam.",T. Quảng Nam,TP. Hội An,P. Sơn Phong,,,,,,,,Time Hoi An
Tig Tower,TIG Tower,,"Đường Phạm Hùng, Phường Trung Hòa, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Trung Hòa,,,,,,,,Tig Tower
Thủy Tiên Resort,Thủy Tiên Resort,,"84 Trần Phú, Phường 5, Vũng Tàu, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Vũng Tàu,P. 05,,,,,,,,Thuy Tien Resort
Thủ Đức Garden Homes,Thủ Đức Garden Homes,,"Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Hiệp Bình Phước,,,,,,,,Thu Duc Garden Homes
Thủ Đức Central Park,Thủ Đức Central Park,,"Đường Quốc Lộ 13, Thủ Đức, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,UNK,,,Thủ Đức Central Park,1.0,,,,Thu Duc Central Park
Thủ Thừa Phú Thanh,Thủ Thừa Phú Thanh,,"Đường Phan Văn Tình, Xã Thủ Thừa, Thủ Thừa, Long An.",T. Long An,H. Thủ Thừa,TT. Thủ Thừa,,,,,,,,Thu Thua Phu Thanh
Thủ Thiêm Zeit River,Thủ Thiêm Zeit River,,"Phường Thủ Thiêm, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thủ Thiêm,,,Thủ Thiêm Zeit River,1.0,,,,Thu Thiem Zeit River
Thủ Thiêm Xanh,Thủ Thiêm Xanh,Chung cư Thủ Thiêm Xanh,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Bình Trưng Đông,10.78950982,106.7766521,"Thủ Thiêm Xanh, Căn Hộ Chung Cư Thủ Thiêm Xanh",0.6346153846,,,,Thu Thiem Xanh
Thủ Thiêm Star,Thủ Thiêm Star,Chung cư Thủ Thiêm Star,"Nguyễn Duy Trinh và Đỗ Xuân Hợp, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Bình Trưng Đông,10.792204,106.777368,Thủ Thiêm Star,0.5168539326,,,,Thu Thiem Star
Thủ Thiêm Sky,Thủ Thiêm Sky,Chung cư Thủ Thiêm Sky,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thảo Điền,10.81468,106.730454,Thủ Thiêm Sky,0.752,,,,Thu Thiem Sky
Thủ Thiêm Lakeview,Thủ Thiêm Lakeview,,"Phân khu 4, khu đô thị Thủ Thiêm, quận 2, Tp.HCM.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thủ Thiêm,,,Thủ Thiêm Lakeview,0.6984126984,,,,Thu Thiem Lakeview
Thủ Thiêm Garden,Thủ Thiêm Garden,Chung cư Thủ Thiêm Garden,"Đường Liên Phường, phường Phước Long B, quận 9, Tp.HCM.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Phước Long B,10.80702393,106.7892457,"Thủ Thiêm Garden, Dự Án Thủ Thiêm Garden, Căn Hộ Chung Cư Thủ Thiêm Garden, Bán Căn Hộ Chung Cư Tại Thủ Thiêm Garden",1.0,,,,Thu Thiem Garden
Thủ Thiêm Dragon,Thủ Thiêm Dragon,,"Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thạnh Mỹ Lợi,,,"Thủ Thiêm Garden, Bán Chung Cư Lâm Quang Ky, Bán Chung Cư The Cbd Premium Home, Thủ Thiêm Dragon",0.9983974359,,,,Thu Thiem Dragon
Thới An City,Thới An City,,"Phường Thới An, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. Thới An,,,Thới An City,0.8,,,,Thoi An City
Thống Nhất Complex,Thống Nhất Complex,Thống Nhất Complex,"Số 82 Nguyễn Tuân, phường Thanh Xuân Trung, quận Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Thanh Xuân Trung,20.996831,105.804989,"Thanh Xuân Complex, Khu Nhà Ở 90 Nguyễn Tuân, Thống Nhất Complex, Bán Căn Hộ Chung Cư Tại Thống Nhất Complex, Khu Phức Hợp Thống Nhất Complex",0.9961880559,,,,Thong Nhat Complex
Thọ Nam Sang,Chung cư Thọ Nam Sang,,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. Tân Thới Nhất,,,,,,,,Tho Nam Sang
Thịnh Vượng,Cao ốc Thịnh Vượng,,"531 Nguyễn Duy Trinh, P. Bình Trưng Ðông, Q. 2, TP.HCM.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Bình Trưng Đông,,,Căn Hộ Chung Cư Thịnh Vượng,1.0,,,,Thinh Vuong
